Level,HaveAtk,EquipAtk,RequiredGold,EquipmentName
0,0,0,0,GoldenSword
1,100,1000,10000,
2,200,1500,11000,
3,300,2000,12000,
4,400,2500,13000,
5,500,3000,14000,
6,600,3500,15000,
7,700,4000,16000,
8,800,4500,17000,
9,900,5000,18000,
10,1000,5500,19000,
11,1100,6000,20000,
12,1200,6500,21000,
13,1300,7000,22000,
14,1400,7500,23000,
15,1500,8000,24000,
16,1600,8500,25000,
17,1700,9000,26000,
18,1800,9500,27000,
19,1900,10000,28000,
20,2000,10500,29000,
21,2100,11000,30000,
22,2200,11500,31000,
23,2300,12000,32000,
24,2400,12500,33000,
25,2500,13000,34000,
26,2600,13500,35000,
27,2700,14000,36000,
28,2800,14500,37000,
29,2900,15000,38000,
30,3000,15500,39000,
31,3100,16000,40000,
32,3200,16500,41000,
33,3300,17000,42000,
34,3400,17500,43000,
35,3500,18000,44000,
36,3600,18500,45000,
37,3700,19000,46000,
38,3800,19500,47000,
39,3900,20000,48000,
40,4000,20500,49000,
41,4100,21000,50000,
42,4200,21500,51000,
43,4300,22000,52000,
44,4400,22500,53000,
45,4500,23000,54000,
46,4600,23500,55000,
47,4700,24000,56000,
48,4800,24500,57000,
49,4900,25000,58000,
50,5000,25500,59000,
51,5100,26000,60000,
52,5200,26500,61000,
53,5300,27000,62000,
54,5400,27500,63000,
55,5500,28000,64000,
56,5600,28500,65000,
57,5700,29000,66000,
58,5800,29500,67000,
59,5900,30000,68000,
60,6000,30500,69000,
61,6100,31000,70000,
62,6200,31500,71000,
63,6300,32000,72000,
64,6400,32500,73000,
65,6500,33000,74000,
66,6600,33500,75000,
67,6700,34000,76000,
68,6800,34500,77000,
69,6900,35000,78000,
70,7000,35500,79000,
71,7100,36000,80000,
72,7200,36500,81000,
73,7300,37000,82000,
74,7400,37500,83000,
75,7500,38000,84000,
76,7600,38500,85000,
77,7700,39000,86000,
78,7800,39500,87000,
79,7900,40000,88000,
80,8000,40500,89000,
81,8100,41000,90000,
82,8200,41500,91000,
83,8300,42000,92000,
84,8400,42500,93000,
85,8500,43000,94000,
86,8600,43500,95000,
87,8700,44000,96000,
88,8800,44500,97000,
89,8900,45000,98000,
90,9000,45500,99000,
91,9100,46000,100000,
92,9200,46500,101000,
93,9300,47000,102000,
94,9400,47500,103000,
95,9500,48000,104000,
96,9600,48500,105000,
97,9700,49000,106000,
98,9800,49500,107000,
99,9900,50000,108000,
100,10000,50500,109000,
