Level,HaveAtk,SkillAtk,RequiredGold,TranscendenceMaxLevel,SkillName
0,0,0,0,0,Meteor
1,10,100,50,0,
2,20,110,70,0,
3,30,120,90,0,
4,40,130,110,0,
5,50,140,130,0,
6,60,150,150,0,
7,70,160,170,0,
8,80,170,190,0,
9,90,180,210,0,
10,100,190,230,0,
11,110,200,250,1,
12,120,210,270,1,
13,130,220,290,1,
14,140,230,310,1,
15,150,240,330,1,
16,160,250,350,1,
17,170,260,370,1,
18,180,270,390,1,
19,190,280,410,1,
20,200,290,430,1,
21,210,300,450,2,
22,220,310,470,2,
23,230,320,490,2,
24,240,330,510,2,
25,250,340,530,2,
26,260,350,550,2,
27,270,360,570,2,
28,280,370,590,2,
29,290,380,610,1,
30,300,390,630,1,
31,310,400,650,2,
32,320,410,670,2,
33,330,420,690,2,
34,340,430,710,2,
35,350,440,730,2,
36,360,450,750,2,
37,370,460,770,2,
38,380,470,790,2,
39,390,480,810,2,
40,400,490,830,2,
41,410,500,850,2,
42,420,510,870,2,
43,430,520,890,2,
44,440,530,910,2,
45,450,540,930,2,
46,460,550,950,2,
47,470,560,970,2,
48,480,570,990,2,
49,490,580,1010,2,
50,500,590,1030,2,
51,510,600,1050,3,
52,520,610,1070,3,
53,530,620,1090,3,
54,540,630,1110,3,
55,550,640,1130,3,
56,560,650,1150,3,
57,570,660,1170,3,
58,580,670,1190,3,
59,590,680,1210,3,
60,600,690,1230,3,
61,610,700,1250,3,
62,620,710,1270,3,
63,630,720,1290,3,
64,640,730,1310,3,
65,650,740,1330,3,
66,660,750,1350,3,
67,670,760,1370,3,
68,680,770,1390,3,
69,690,780,1410,3,
70,700,790,1430,3,
71,710,800,1450,4,
72,720,810,1470,4,
73,730,820,1490,4,
74,740,830,1510,4,
75,750,840,1530,4,
76,760,850,1550,4,
77,770,860,1570,4,
78,780,870,1590,4,
79,790,880,1610,4,
80,800,890,1630,4,
81,810,900,1650,4,
82,820,910,1670,4,
83,830,920,1690,4,
84,840,930,1710,4,
85,850,940,1730,4,
86,860,950,1750,4,
87,870,960,1770,4,
88,880,970,1790,4,
89,890,980,1810,4,
90,900,990,1830,4,
91,910,1000,1850,5,
92,920,1010,1870,5,
93,930,1020,1890,5,
94,940,1030,1910,5,
95,950,1040,1930,5,
96,960,1050,1950,5,
97,970,1060,1970,5,
98,980,1070,1990,5,
99,990,1080,2010,5,
100,1000,1090,2030,5,
